PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_POSITION,NBA_FANTASY_PTS,GP,FG3M,FGM,FGA,FTM,FTA,PTS,REB,AST,TOV,STL,BLK,FG3_PCT,FT_PCT,FG_PCT,SEASON
Evan Mobley,CLE,Center,2857.2,79,22,525,947,205,304,1277,711,224,146,60,119,0.216,0.674,0.554,2022-23
Damian Lillard,POR,Guard,2848.9,58,244,556,1202,510,558,1866,277,425,191,50,18,0.371,0.914,0.463,2022-23
Mikal Bridges,BKN,Guard-Forward,2846.3,83,169,593,1267,316,353,1671,364,273,127,91,61,0.382,0.895,0.468,2022-23
Ja Morant,MEM,Guard,2803.9,61,92,566,1214,372,497,1596,357,493,206,66,16,0.307,0.748,0.466,2022-23
Jaylen Brown,BOS,Guard-Forward,2788.8,67,163,679,1383,263,344,1784,459,232,197,75,26,0.335,0.765,0.491,2022-23
LeBron James,LAL,Forward,2768.9,55,121,609,1219,251,327,1590,457,375,178,50,32,0.321,0.768,0.5,2022-23
Kristaps Porziņģis,WAS,Forward-Center,2758.2,65,137,507,1018,354,416,1505,546,174,137,58,100,0.385,0.851,0.498,2022-23
Fred VanVleet,TOR,Guard,2756.5,69,207,437,1112,254,283,1335,280,495,140,123,38,0.342,0.898,0.393,2022-23
CJ McCollum,NOP,Guard,2746.1,75,211,587,1344,183,238,1568,328,429,183,70,38,0.389,0.769,0.437,2022-23
Jimmy Butler III,MIA,Forward,2739.0,64,36,479,888,472,555,1466,375,340,101,117,21,0.35,0.85,0.539,2022-23
Josh Giddey,OKC,Guard,2735.3,76,76,539,1118,106,145,1260,599,469,211,57,31,0.325,0.731,0.482,2022-23
Kyrie Irving,DAL,Guard,2689.3,60,188,594,1203,247,273,1623,304,331,128,66,45,0.379,0.905,0.494,2022-23
Nic Claxton,BKN,Center,2685.4,76,0,414,587,133,246,961,702,144,96,65,189,0.0,0.541,0.705,2022-23
James Harden,PHI,Guard,2678.8,58,161,371,842,313,361,1216,354,618,195,71,31,0.385,0.867,0.441,2022-23
Lauri Markkanen,UTA,Forward-Center,2672.5,66,200,571,1145,349,399,1691,570,123,127,42,38,0.391,0.875,0.499,2022-23
Jalen Brunson,NYK,Guard,2639.7,68,134,587,1195,325,392,1633,241,421,142,61,15,0.416,0.829,0.491,2022-23
Scottie Barnes,TOR,Forward-Guard,2627.9,77,63,463,1016,190,246,1179,512,371,154,83,61,0.281,0.772,0.456,2022-23
Stephen Curry,GSW,Guard,2622.2,56,273,559,1133,257,281,1648,341,352,179,52,20,0.427,0.915,0.493,2022-23
Darius Garland,CLE,Guard,2602.0,69,169,522,1129,277,321,1490,185,538,199,85,9,0.41,0.863,0.462,2022-23
Brook Lopez,MIL,Center,2594.5,78,136,477,899,149,190,1239,520,99,107,37,193,0.374,0.784,0.531,2022-23
Spencer Dinwiddie,BKN,Guard,2593.5,79,181,460,1050,268,330,1369,270,515,145,67,24,0.369,0.812,0.438,2022-23
Alperen Sengun,HOU,Center,2586.1,75,19,442,799,206,288,1109,678,291,193,70,70,0.333,0.715,0.553,2022-23
Russell Westbrook,LAC,Guard,2565.1,73,89,432,991,206,314,1159,423,551,255,76,33,0.311,0.656,0.436,2022-23
Jrue Holiday,MIL,Guard,2556.7,67,158,490,1023,152,177,1290,341,495,197,79,25,0.384,0.859,0.479,2022-23
Paolo Banchero,ORL,Forward,2533.9,72,85,479,1122,394,534,1437,497,269,200,60,39,0.298,0.738,0.427,2022-23
Jordan Poole,GSW,Guard,2498.5,82,214,550,1278,361,415,1675,225,369,252,63,21,0.336,0.87,0.43,2022-23
Tyrese Haliburton,IND,Guard,2490.5,56,161,412,841,175,201,1160,205,585,141,91,25,0.4,0.871,0.49,2022-23
Jalen Green,HOU,Guard,2476.3,76,187,566,1359,364,463,1683,284,281,200,59,18,0.338,0.786,0.416,2022-23
Jaren Jackson Jr.,MEM,Forward-Center,2429.2,63,100,416,822,241,306,1173,426,60,107,65,189,0.355,0.788,0.506,2022-23
Franz Wagner,ORL,Forward,2419.3,80,130,542,1118,271,322,1485,329,283,167,77,17,0.361,0.842,0.485,2022-23
Rudy Gobert,MIN,Center,2377.3,70,0,360,546,219,340,939,814,87,122,56,95,0.0,0.644,0.659,2022-23
Nikola Jokić,DEN,Center,4609.2,79,83,822,1411,358,438,2085,976,708,237,108,68,0.359,0.817,0.583,2023-24
Luka Dončić,DAL,Forward-Guard,4304.4,70,284,804,1652,478,608,2370,647,686,282,99,38,0.382,0.786,0.487,2023-24
Giannis Antetokounmpo,MIL,Forward,4193.2,73,34,837,1369,514,782,2222,841,476,250,87,79,0.274,0.657,0.611,2023-24
Anthony Davis,LAL,Forward-Center,4076.2,76,29,713,1283,421,516,1876,961,266,159,91,178,0.271,0.816,0.556,2023-24
Domantas Sabonis,SAC,Forward-Center,4040.5,82,33,634,1068,292,415,1593,1120,673,272,74,48,0.379,0.704,0.594,2023-24
Shai Gilgeous-Alexander,OKC,Guard,3938.5,75,95,796,1487,567,649,2254,415,465,162,150,67,0.353,0.874,0.535,2023-24
Victor Wembanyama,SAS,Forward-Center,3605.0,71,128,551,1186,292,367,1522,755,274,260,88,254,0.325,0.796,0.465,2023-24
LeBron James,LAL,Forward,3463.1,71,149,685,1269,303,404,1822,518,589,245,89,38,0.41,0.75,0.54,2023-24
